sec,nanosec,odom_x,odom_y,lidar_x,lidar_y,kf_x,kf_y,opti_tb2_x,opti_tb2_y,opti_tb1_x,opti_tb1_y
1772619199,898703117,0.4008458890419079,-0.05828181757732857,0.49103575961586454,-0.3248282762710119,0.46424750103820916,-0.17186010833314574,0.430494099855423,-0.03341984748840332,-0.07666435092687607,-0.08661183714866638
1772619199,948782992,0.4008458890419079,-0.05828181757732857,0.4901574108773532,-0.31791970822498483,0.4645701453941133,-0.17367892228592624,0.43047669529914856,-0.033398400992155075,-0.08093149960041046,-0.08930371701717377
1772619199,998868441,0.4008458890419079,-0.05828181757732857,0.4901574108773532,-0.31791970822498483,0.4645701453941133,-0.17367892228592624,0.4304766058921814,-0.0333925262093544,-0.07665130496025085,-0.08670610934495926
1772619200,48844314,0.4008458890419079,-0.05828181757732857,0.4901574108773532,-0.31791970822498483,0.4645701453941133,-0.17367892228592624,0.4304603636264801,-0.03342635557055473,-0.07983939349651337,-0.09005285054445267
1772619200,98861269,0.4008458890419079,-0.05828181757732857,0.4901574108773532,-0.31791970822498483,0.4645701453941133,-0.17367892228592624,0.4304920434951782,-0.033405110239982605,-0.07948626577854156,-0.09055387228727341
1772619200,148837343,0.4008458890419079,-0.05828181757732857,0.488524626175214,-0.3228921589415164,0.46486664020233853,-0.17552579804963606,0.430471807718277,-0.03339643403887749,-0.07985919713973999,-0.09010087698698044
1772619200,198870302,0.4008458890419079,-0.05828181757732857,0.488524626175214,-0.3228921589415164,0.46486664020233853,-0.17552579804963606,0.4304708242416382,-0.03339950740337372,-0.07951684296131134,-0.09065931290388107
1772619200,248790722,0.4008458890419079,-0.05828181757732857,0.488524626175214,-0.3228921589415164,0.46486664020233853,-0.17552579804963606,0.4304635226726532,-0.033420052379369736,-0.07651540637016296,-0.08765004575252533
1772619200,298773972,0.4008458890419079,-0.05828181757732857,0.488524626175214,-0.3228921589415164,0.46486664020233853,-0.17552579804963606,0.4304856061935425,-0.033402279019355774,-0.07962331175804138,-0.09081277251243591
1772619200,348815249,0.4008458890419079,-0.05828181757732857,0.4793196951258605,-0.3415917731379333,0.46504447272603155,-0.17756909834883,0.4304657578468323,-0.03339328616857529,-0.07671747356653214,-0.08788491785526276
1772619200,398852810,0.4008458890419079,-0.05828181757732857,0.4793196951258605,-0.3415917731379333,0.46504447272603155,-0.17756909834883,0.430477112531662,-0.03341293707489967,-0.07964916527271271,-0.09109202772378922
1772619200,448800029,0.4008458890419079,-0.05828181757732857,0.4793196951258605,-0.3415917731379333,0.46504447272603155,-0.17756909834883,0.43046098947525024,-0.03340812027454376,-0.07645413279533386,-0.08755643665790558
1772619200,498833712,0.4008458890419079,-0.05828181757732857,0.4793196951258605,-0.3415917731379333,0.46504447272603155,-0.17756909834883,0.43048983812332153,-0.03339924290776253,-0.0795237198472023,-0.09021347761154175
1772619200,548846908,0.4008458890419079,-0.05828181757732857,0.4555008844211352,-0.34911237771971376,0.4649277292860976,-0.1796675284038055,0.4304772615432739,-0.03338821977376938,-0.07918965816497803,-0.09007160365581512
1772619200,598817649,0.4008458890419079,-0.05828181757732857,0.4555008844211352,-0.34911237771971376,0.4649277292860976,-0.1796675284038055,0.43048542737960815,-0.033416662365198135,-0.07958225905895233,-0.09051336348056793
1772619200,648803495,0.4008458890419079,-0.05828181757732857,0.4555008844211352,-0.34911237771971376,0.4649277292860976,-0.1796675284038055,0.4304557740688324,-0.03341515362262726,-0.07650382071733475,-0.08774062991142273
1772619200,698768816,0.4008458890419079,-0.05828181757732857,0.4555008844211352,-0.34911237771971376,0.4649277292860976,-0.1796675284038055,0.430489182472229,-0.03340259566903114,-0.07687653601169586,-0.08817822486162186
1772619200,748803140,0.4008458890419079,-0.05828181757732857,0.444881835458567,-0.3665320131045195,0.46468391310107215,-0.1819403422862128,0.43047210574150085,-0.033396363258361816,-0.07654037326574326,-0.08780766278505325
1772619200,798846783,0.4008458890419079,-0.05828181757732857,0.444881835458567,-0.3665320131045195,0.46468391310107215,-0.1819403422862128,0.4304807484149933,-0.03341379761695862,-0.07690557837486267,-0.08821389079093933
